timestamp,step,duration (ms),function,args,kwargs
2025-11-14 19:41:06,Открываем страницу логина,904,Открываем страницу логина,,
2025-11-14 19:41:07,"Вводим логин и пароль, кликаем 'Login'",538,"Вводим логин и пароль, кликаем 'Login'",,
2025-11-14 19:41:07,Проверяем успешный вход,586,Проверяем успешный вход,,
2025-11-14 19:41:07,Добавляем первый товар в корзину,68,Добавляем первый товар в корзину,,
2025-11-14 19:41:07,"Проверяем, что товар добавлен в корзину",14,"Проверяем, что товар добавлен в корзину",,
2025-11-14 19:41:08,Переходим в корзину,82,Переходим в корзину,,
2025-11-14 19:41:08,"Проверяем, что в корзине есть товар",15,"Проверяем, что в корзине есть товар",,
2025-11-14 19:41:08,Нажимаем Checkout,76,Нажимаем Checkout,,
2025-11-14 19:41:08,Заполняем форму покупателя,180,Заполняем форму покупателя,,
2025-11-14 19:41:08,Завершаем покупку,58,Завершаем покупку,,
2025-11-14 19:41:08,Проверяем успешное завершение покупки,16,Проверяем успешное завершение покупки,,
2025-11-14 19:41:44,Открываем страницу логина,1087,Открываем страницу логина,,
2025-11-14 19:41:45,"Вводим логин и пароль, кликаем 'Login'",532,"Вводим логин и пароль, кликаем 'Login'",,
2025-11-14 19:41:45,Проверяем успешный вход,549,Проверяем успешный вход,,
2025-11-14 19:41:46,Добавляем первый товар в корзину,72,Добавляем первый товар в корзину,,
2025-11-14 19:43:03,Открываем страницу логина,946,Открываем страницу логина,,
2025-11-14 19:43:03,"Вводим логин и пароль, кликаем 'Login'",397,"Вводим логин и пароль, кликаем 'Login'",,
2025-11-14 19:43:04,Проверяем успешный вход,612,Проверяем успешный вход,,
2025-11-14 19:43:04,Добавляем первый товар в корзину,47,Добавляем первый товар в корзину,,
2025-11-14 19:43:04,"Проверяем, что товар добавлен в корзину",17,"Проверяем, что товар добавлен в корзину",,
2025-11-14 19:43:04,Переходим в корзину,80,Переходим в корзину,,
2025-11-14 19:43:04,"Проверяем, что в корзине есть товар",18,"Проверяем, что в корзине есть товар",,
2025-11-14 19:43:04,Нажимаем Checkout,74,Нажимаем Checkout,,
2025-11-14 19:43:04,Заполняем форму покупателя,175,Заполняем форму покупателя,,
2025-11-14 19:43:04,Завершаем покупку,70,Завершаем покупку,,
2025-11-14 19:43:04,Проверяем успешное завершение покупки,15,Проверяем успешное завершение покупки,,
